Key,Source,Context,Changes,English,French,German,Klingon,Spanish
keystoneBlockDesc,blocks,Block,EnChanged,陣地保護ブロック(land claim block)はPVP戦において他のプレイヤーから陣地を守ります。\n領域が緑のブロックで表示されます。設置した作業場等を回収するためにも使います。,A land claim block can be placed to protect an area from other players in PVP. The green box shows the size of the area.,Ein Gebietsschutzblock kann platziert werden um einen Bereich vor anderen Spielern im PvP zu schützen. Die grüne Box zeigt die Grösse des Bereichs an.,,Se puede colocar un bloque para reclamar un territorio y darle al área circundante una protección extra frente a otros jugadores en JcJ.
scrapFrameGroupDesc,blocks,Block,EnChanged,クズ鉄(scrap iron)で作った粗末なフレームです。木より遥かに優れた防御力を提供してくれます。修理には鉄(Iron)が必要です。アップグレードに鉄(Iron)、コンクリートミックス(Concrete Mix)、製錬鋼(Forged Steel)で強化出来ます。,Used for bases. Upgrade & repair with a construction tool & iron. Upgrade more with concrete mix & others.,Wird für Basen verwendet. Kann mit Eisen und Bauwerkzeugen aufgewertet und repariert werden. Kann mit Betonmischung und geschmiedetem Stahl weiter aufgewertet werden.,,
scrapHatch_v1Desc,blocks,Block,EnChanged,粗末な作りのハッチ(scrap Iron Hatch)です。[ACTIVE]長押しすると、ロック・解除ができます。鉄と建設ツールでアップグレード、修理が可能です。,Press & hold [activate] to lock it or set a combination. Upgrade & repair with iron and a construction tool using the secondary action.,Zum Verschließen oder Kombination eingeben [activate] gedrückt halten. Kann mit Eisen und Bauwerkzeugen unter Verwendung der sekundären Aktion aufgewertet und repariert werden.,,
spotlightNailedDownPOI,blocks,Block,EnChanged,Mobile Spotlight (POI),Spotlight (POI),Scheinwerfer (POI),,Foco clavado
woodFrameGroupDesc,blocks,Block,EnChanged,ウッドフレーム(wood frame)は建物の基本となるブロックです。木と建築ツールでアップグレードと修理ができます。鉄やコンクリートミックス、製錬鉄・製錬鋼でより幅広いアップグレードが出来ます。,"Used for bases. Upgrade & repair with wood & a construction tool. Upgrade more with iron, concrete mix & others.",,,
cntCar03SedanDamage0,blocks,Container,EnChanged,Sedan,Sedan,Coupé,,Sedán azul
cntCar03SedanDamage1,blocks,Container,EnChanged,Damaged Sedan,Damaged Sedan,Beschädigtes Coupé,,Sedán azul estropeado
cntLootCrateShamway,blocks,Container,EnChanged,Shamway Crate,Shamway Box,Shamway-Schachtel,,Caja de Shamway
cntLootCrateShotgunMessiah,blocks,Container,EnChanged,Gunstore Crate,Gunstore Box,Waffenladen-Schachtel,,Caja de almacenaje de armas
cntLootCrateWorkingStiffs,blocks,Container,EnChanged,Working Stiffs Crate,Working Stiffs Box,Working-Stiffs-Schachtel,,Embalaje de la serie Working Stiffs
plantedCorn1,blocks,Farming,EnChanged,Corn Seed,Corn Seed,,,
plantedCorn3Harvest,blocks,Farming,EnChanged,Planted Corn 3 (Harvestable),Planted Corn 3 (Harvestable),Gepflanzte Maisstauden-Ernte 2,,Sembrado Tallo de maíz 2 Cosecha
barbedFenceDesc,blocks,Trap,EnChanged,木と鋳造鉄から作られる鉄条網(barbed wire)は、敵の侵攻を抑えることができます。遅くなった彼らの対処は容易いでしょう。右クリックで設置できます。,"Barbed wire fences made from wood and iron can slow down enemies, making them easier to deal with. Place them by using the secondary action.",,,
barbedWireSheetDesc,blocks,Trap,EnChanged,製錬鉄(Forged Iron)から作られた有刺鉄線(barbed wire)は、ゾンビの侵攻を遅らせることができます。動きの鈍くなったゾンビの対処は容易いものとなるでしょう。右クリックで設置できます。,"Barbed wire made from iron can slow down enemies, making them easier to deal with. Place it by using the secondary action.",,,
rScrapIronPlateMineDesc,blocks,Trap,EnChanged,クズ鉄と火薬が原料のお手軽地雷(Scrap iron plate mine)。敵の足を破壊、または爆殺出来ます。,A primitive pressure plate mine made of iron and gunpowder. Good for hobbling or killing most enemies.,"Eine primitive Druckplattenmine aus Eisen und Schießpulver. Gut, um die meisten Gegner zu verstümmeln oder töten.",,
hungry2Desc,buffs,Buff,EnChanged,あなたは飢え死にしかかっています。この際、腐った肉でも口にしたい気分です。\n健康値が大きく下がっていきます。,You are dying of starvation! Find something to eat!,Du bist am Verhungern! Finde etwas zu essen!,,Te estás muriendo de hambre.
hungry2Tooltip,buffs,Buff,EnChanged,You are starving.,You are dying of starvation! Find something to eat!,Du bist am Verhungern! Finde etwas zu essen!,,Te estás muriendo de hambre.
painkillersBuffDesc,buffs,Buff,EnChanged,痛み止めを飲みました。,You took painkillers. Stuns will affect you less now.,,,
thirsty2Desc,buffs,Buff,EnChanged,脱水症を発症しました。この際、ナニカが入った水でもいいから飲んで喉を潤してください。,You are dying of thirst! Find something to drink!,Du verdurstest! Finde etwas zu trinken!,,Tienes mucha sed y deberías beber bastante líquidos.
thirsty2Tooltip,buffs,Buff,EnChanged,You are very thirsty and should drink plenty of fluids.,You are dying of thirst! Find something to drink!,Du verdurstest! Finde etwas zu trinken!,,Tienes mucha sed y deberías beber bastante líquidos.
blunderbussAmmoDesc,items,Ammo,EnChanged,ラッパ銃に込める弾薬です。\n鍛冶炉不要で、バックパック・作業台で火薬と、そこら辺に小石やクズ鉄を紙で包めばクラフト完成！,Blunderbuss ammo can be made with paper and gun powder plus small rocks.,"Munition für die Donnerbüchse kann mit Papier, Schießpulver und kleinen Steinen gefertigt werden.",,
ironCrossbowBoltDesc,items,Ammo,EnChanged,木のクロスボウボルトより強力なダメージを与えます。装備を切り替える場合は、リロードキーを長押ししてください。,An iron-tipped bolt for the crossbow. Hold reload to use alternate ammo.,"Ein Eisenbolzen für Armbrüste. Nachladen gedrückt halten, um zwischen Munitionsarten zu wechseln.",,
rocketDesc,items,Ammo,EnChanged,ロケットランチャー用の弾(rocket)です。作成にはレシピ本を読んでいる必要があります。,A rocket used as rocket launcher ammunition can be crafted at a forge and workbench once you've read the schematic.,"Eine Rakete dient als Munition für Raketenwerfer und kann mittels Schmiede und Werkbank gefertigt werden, wenn du den Bauplan dafür gelesen hast.",,
pumpShotgunSchematicDesc,items,Book,EnChanged,この本を読めば、自分でショットガン(pump shotgun)を分解・組み立て・修繕することが出来るようになります。,"Learn how to assemble, repair and augment shotguns by reading this schematic.","In diesem Bauplan erfährst du, wie Schrotflinten zusammengesetzt, repariert und verbessert werden.","Lee el esquema para aprender a armar, reparar y mejorar escopetas de largo alcance.",
animalHidePoncho,items,Clothes,EnChanged,Animal Hide Poncho,Leather Poncho,Lederponcho,,Poncho de piel de animal
bandanaClothesGroupDesc,items,Clothes,EnChanged,バンダナは、涼しさと、少しの耐天候ボーナスを得ます。,Bandanas provide some protection against damage.,Halstücher bieten etwas Schutz vor Schaden.,,"Las bandanas te mantienen fresco en climas calurosos y, al igual que toda la ropa, brindan un poco de protección contra otro tipo de daños."
hazmatShirt,items,Clothes,EnChanged,Hazmat Shirt,Hazmat Jacket,Schutzanzugjacke,,Camisa de material peligroso
shadesDesc,items,Clothes,EnChanged,サングラス(shades)でクールにキメろ。炎天下でも気温が上がるのを少しだけ防ぎます。,Sunglasses make you look cool.,Mit einer Sonnenbrille siehst du cool aus.,,"Con estas gafas te ves cool, además te mantienes fresco en climas calurosos. "
coffeeBeansDesc,items,Farming,EnChanged,焙煎されたコーヒー豆。おいしいコーヒーが入れられそうです。,Brew coffee at a campfire or craft the beans into coffee seeds.,Braue Kaffee am Lagerfeuer oder verarbeite die Bohnen zu Kaffeesamen.,,
foodYuccaFruitDesc,items,Food,EnChanged,インディアンはサボテンを食用としていました。ウェイストランドでもそれは変わりません。ユッカフルーツ(food yucca)はサボテンから取得出来ます。,Yucca fruit is edible and can be juiced to gain a bit of water. It is harvested from cacti and yucca plants.,Die Yucca-Frucht ist essbar und kann von Kakteen geerntet werden.,,La yuca es comestible y se puede recoger de los cactus.
moldyBreadDesc,items,Food,EnChanged,食べると食中毒のリスクがあります。そんなリスクを侵すよりも、キャンプファイアとビーカーがあれば、抗生物質を作り出す材料になります。,Eat at your own risk. Can be used to craft antibiotics at a chemistry station.,"Auf eigene Gefahr essen. Kann benutzt werden, um am Chemietisch Antibiotika zu fertigen.",,
blunderbussDesc,items,Gun,EnChanged,このハンドメイドの銃(blunderbuss)は、非常に近い距離での射撃でダメージが期待出来ます。,A primitive muzzle loader can be crafted from mainly forged iron. Effective at very close ranges.,Ein einfacher Vorderlader der hauptsächlich aus geschmiedetem Eisen gefertigt wird. Ist im Nahkampf sehr effektiv.,,"Se puede fabricar un arma de avancarga rudimentaria con tuberías, hierro forjado, madera y resortes. Eficaz a distancias muy cortas."
gunMP5Desc,items,Gun,EnChanged,サブマシンガンを連射して、ウェイストランドにご機嫌なサウンドを奏でよう！\n分解・組み立て・修理にはperk購入が必要です。,This silenced submachine gun uses 9mm ammo. Can be re-assembled and repaired if you read the schematic.,"Diese schallgedämpfte Maschinenpistole verwendet 9 mm Munition. Kann zusammengesetzt und repariert werden, wenn du den Bauplan gelesen hast.",Esta metralleta pateaculos utiliza munición de 9 mm. Se puede rearmar y reparar si lees el esquema.,
animalHideDesc,items,Item,EnChanged,獣の皮(Animal Hide)は衣服を作成したり、鍛冶炉(Forge)に必要なふいご(bellows)の材料になります。レシピを解放すればLeatherの材料になります。,Use animal hide to make warm clothing and leather.,Tierhäute dienen dazu warme Kleidung und Leder herzustellen.,,"Una vez que hayas leído el libro del cuero, podrás usar la piel de animal para hacer ropa, fabricar fuelles para la fragua y cuero."
bellowsDesc,items,Item,EnChanged,ふいご(bellows)。高温が必要な鍛冶炉(forge)のクラフトに欠かせないアイテムです。,"Bellows made with wood, leather and pipes are needed to make a forge.","Blasebälge bestehen aus Holz, Leder und Röhren, und sind notwendig, um eine Schmiede zu bauen.","Se necesitan fuelles de madera, piel de animal y tuberías para construir una fragua.",
oilShaleDesc,items,Item,EnChanged,油頁岩(oil shale)。砂漠で見つけることが出来ます。キャンプファイアにビーカーがあれば、ガソリンの素材になります。,Oil shale can be found in the desert and crafted into gas at a chemistry station.,Ölschiefer kann in der Wüste gefunden werden und am Chemietisch zu Benzin verarbeitet werden.,,
springDesc,items,Item,EnChanged,スプリング(spring)は家具や武器などのクラフトの素材になります。,"Springs are great for making furniture, vault doors, hatches and more.",,,
yuccaFibersDesc,items,Item,EnChanged,植物の繊維(yucca fibers)は、草系のブロックを破壊すると手に入る素材で、その用途は多岐に渡ります。,Plant fibers are acquired from destroying grass & small plants. Can be used to craft many things and for planting grass using the secondary action.,Pflanzenfasern bekommt man von Gras und kleineren Pflanzen. Sie haben viele Verwendungszwecke. Mit der sekundären Aktion kann Gras gepflanzt werden.,,"La fibra vegetal es un recurso común que se adquiere al destruir hierba y pequeñas plantas. Se puede usar para fabricar diversos objetos, como ropa."
